FlashlightOff24: 0xf41b
Folder20: 0xf41c
Folder24: 0xf41d
Folder28: 0xf41e
Folder48: 0xf41f
FolderAdd20: 0xf420
FolderAdd24: 0xf421
FolderAdd28: 0xf422
FolderAdd48: 0xf423
FolderBriefcase20: 0xf424
FolderLink24: 0xf42a
FolderLink20: 0xf429
FolderLink28: 0xf42b
FolderLink48: 0xf42c
FolderOpen16: 0xf431
FolderOpen20: 0xf432
FolderOpen24: 0xf433
FolderOpenVertical20: 0xf434
FolderZip16: 0xf438
FolderZip20: 0xf439
FontDecrease20: 0xf43b
FolderZip24: 0xf43a
FontDecrease24: 0xf43c
FontIncrease20: 0xf43d
FontIncrease24: 0xf43e
FontSpaceTrackingIn16: 0xf43f
FontSpaceTrackingIn20: 0xf440
FontSpaceTrackingIn24: 0xf441
FontSpaceTrackingIn28: 0xf442
FontSpaceTrackingOut16: 0xf443
FontSpaceTrackingOut20: 0xf444
FontSpaceTrackingOut24: 0xf445
FontSpaceTrackingOut28: 0xf446
Food20: 0xf447
Food24: 0xf448
FoodCake24: 0xf449
FoodEgg24: 0xf44a
FoodToast24: 0xf44b
FormNew24: 0xf44c
DocumentEndnote20: 0xf388
FormNew48: 0xf44e
Fps24024: 0xf451
Fps96024: 0xf452
Games24: 0xf455
Gesture24: 0xf456
Gif20: 0xf457
Gif24: 0xf458
Gift20: 0xf459
Gift24: 0xf45a
Glance24: 0xf45b
Glasses24: 0xf45c
GlassesOff24: 0xf45d
Globe20: 0xf45e
Globe24: 0xf45f
GlobeAdd24: 0xf460
GlobeClock24: 0xf461
GlobeDesktop24: 0xf462
GlobeLocation24: 0xf463
GlobeSearch24: 0xf464
GlobeVideo24: 0xf465
Grid20: 0xf466
Grid24: 0xf467
Grid28: 0xf468
Group20: 0xf469
Group24: 0xf46a
GroupList24: 0xf46b
Guest16: 0xf46c
Guest20: 0xf46d
Guest24: 0xf46e
Guest28: 0xf46f
GuestAdd24: 0xf470
Handshake16: 0xf472
FormNew28: 0xf44d
